Time,"6"" Moisture","12"" Moisture","24"" Moisture"
2019-07-11T12:59:46.000-05:00,-49.46,-44.17,-24.77
2019-07-11T15:18:25.000-05:00,-51.83,-46.23,-25.49
2019-07-11T17:18:56.000-05:00,-51.16,-45.62,-24.65
2019-07-11T19:31:50.000-05:00,-51.11,-45.2,-24.09
2019-07-11T21:44:26.000-05:00,-52.26,-45.13,-23.63
2019-07-11T23:56:42.000-05:00,-53.06,-45.27,-23.37
2019-07-12T02:09:20.000-05:00,-54.4,-45.73,-23.33
2019-07-12T04:21:30.000-05:00,-55.39,-45.87,-23.15
2019-07-12T06:33:41.000-05:00,-56.81,-46.57,-23.15
2019-07-12T08:45:49.000-05:00,-58.68,-47.76,-23.45
2019-07-12T10:58:06.000-05:00,-61.85,-50.74,-24.54
2019-07-12T12:53:59.000-05:00,-64.53,-54.01,-25.63
2019-07-12T14:40:31.000-05:00,-65.42,-54.82,-25.89
2019-07-12T16:41:10.000-05:00,-65.37,-54.75,-25.28
2019-07-12T18:54:14.000-05:00,-65.02,-54.65,-24.7
2019-07-12T21:06:55.000-05:00,-65.1,-54.46,-24.31
2019-07-12T23:19:22.000-05:00,-64.78,-54.17,-23.8
2019-07-13T01:20:26.000-05:00,-65.37,-54.17,-23.58
2019-07-13T03:44:57.000-05:00,-66.45,-54.32,-23.43
2019-07-13T05:57:08.000-05:00,-67.15,-54.61,-23.24
2019-07-13T05:57:08.000-05:00,-67.15,-54.61,-23.24
2019-07-13T08:09:16.000-05:00,-69.05,-55.62,-23.58
2019-07-13T10:21:52.000-05:00,-71.86,-57.83,-24.31
2019-07-13T11:17:21.000-05:00,-73.57,-59.43,-24.96
2019-07-13T11:28:28.000-05:00,-74.06,-59.82,-25.17
2019-07-13T11:55:59.000-05:00,-74.45,-60.39,-25.33
2019-07-13T13:39:32.000-05:00,-76.5,-62.84,-26.34
2019-07-13T13:39:33.000-05:00,-76.4,-62.76,-26.3
2019-07-13T15:40:50.000-05:00,-12.24,-11.47,-8.16
2019-07-13T17:41:55.000-05:00,-12.27,-10.8,-12.41
2019-07-13T20:07:00.000-05:00,-12.25,-9.32,-16.07
2019-07-13T22:19:22.000-05:00,-12.28,-9.11,-8.39
2019-07-14T00:31:31.000-05:00,-12.4,-8.37,-6.61
2019-07-14T02:43:38.000-05:00,-12.36,-8.13,-6.55
2019-07-14T04:55:45.000-05:00,-12.35,-7.93,-6.7
2019-07-14T06:55:47.000-05:00,-12.35,-7.93,-5.67
2019-07-14T08:56:02.000-05:00,-12.53,-7.95,-5.5
2019-07-14T11:32:23.000-05:00,-13.09,-8.67,-6.13
2019-07-14T13:44:48.000-05:00,-13.2,-8.62,-6.43
2019-07-14T15:45:00.000-05:00,-12.95,-8.48,-6.14
2019-07-14T17:46:05.000-05:00,-12.9,-8.34,-6.19
2019-07-14T20:24:00.000-05:00,-11.92,-11.08,-16.66
2019-07-14T22:36:05.000-05:00,-11.8,-7.29,-18.25
2019-07-15T00:48:05.000-05:00,-11.86,-7.01,-13.76
2019-07-15T03:00:05.000-05:00,-11.82,-6.61,-12.79
2019-07-15T05:12:02.000-05:00,-11.81,-6.58,-12.03
2019-07-15T07:24:00.000-05:00,-11.82,-6.44,-11.82
2019-07-15T09:35:59.000-05:00,-12.16,-6.88,-11.75
2019-07-15T11:48:24.000-05:00,-12.34,-6.89,-11.65
2019-07-15T14:00:42.000-05:00,-12.11,-6.7,-11.3
2019-07-15T16:12:37.000-05:00,-12.26,-6.74,-11.22
2019-07-15T18:12:39.000-05:00,-12.25,-6.79,-11.08
2019-07-15T20:37:32.000-05:00,-12.1,-6.41,-10.82
2019-07-15T22:49:44.000-05:00,-11.98,-6.4,-9.37
2019-07-16T01:01:48.000-05:00,-11.95,-6.12,-8.72
2019-07-16T03:13:50.000-05:00,-12,-6.07,-8.31
2019-07-16T05:25:53.000-05:00,-12.05,-6.07,-7.96
2019-07-16T07:37:57.000-05:00,-12.16,-6.22,-7.78
2019-07-16T09:50:05.000-05:00,-12.52,-6.59,-7.82
2019-07-16T12:02:24.000-05:00,-12.95,-7.21,-7.93
2019-07-16T12:43:41.000-05:00,-13.13,-7.44,-8.17
