Date,Sensor1,Sensor2,Sensor3
5/24/2018 11:32,0,0,0
5/24/2018 11:38,0,0,0
5/24/2018 12:01,0,0,0
5/24/2018 13:02,0,0,0
5/24/2018 14:01,0,0,0
5/24/2018 15:02,0,0,0
5/24/2018 16:01,0,0,0
5/24/2018 16:56,0,0,0
5/24/2018 17:00,0,0,0
5/24/2018 17:06,0,0,0
5/24/2018 18:01,7.1,0,0
5/24/2018 19:00,11.9,0,0
5/24/2018 20:01,11.9,0,0
5/24/2018 21:02,13.4,0,0
5/24/2018 22:00,13.9,0,0
5/24/2018 23:01,14.2,2.8,0
5/25/2018 1:01,14.8,10.4,0
5/25/2018 2:02,15,11,0
5/25/2018 3:00,15.1,11.5,0
5/25/2018 5:00,15.5,12.2,0
5/25/2018 6:01,15.5,12.3,0
5/25/2018 7:02,15.7,12.5,0
5/25/2018 8:00,15.8,12.6,0
5/25/2018 9:01,15.8,12.7,0
5/25/2018 10:00,16,12.9,0
5/25/2018 11:01,16.1,12.9,0
5/25/2018 12:01,16.4,13,0
5/25/2018 13:00,16.4,13.4,0
5/25/2018 15:00,16.8,13.5,0
5/25/2018 16:01,17,13.7,0
5/25/2018 18:00,17.3,13.9,0
5/25/2018 19:01,11.4,12.8,0
5/25/2018 20:00,11,12.2,0
5/25/2018 21:01,12.9,13,0
5/25/2018 22:00,14,13.4,0
5/25/2018 23:01,14.4,13.4,0
5/26/2018 2:01,14.9,13.7,0
5/26/2018 3:00,15,13.8,0
5/26/2018 5:02,15.2,13.8,0
5/26/2018 6:01,15.2,13.8,0
5/26/2018 7:01,15.2,13.9,0
5/26/2018 8:00,15.4,13.9,0
5/26/2018 9:01,15.4,13.9,0
5/26/2018 10:00,15.4,13.9,0
5/26/2018 11:01,15.4,13.9,0
5/26/2018 12:02,15.4,13.9,0
5/26/2018 13:00,15.5,13.9,0.2
5/26/2018 14:01,15.6,14,0.2
5/26/2018 16:01,15.8,14.1,0.5
5/26/2018 17:00,15.9,14.1,0.5
5/26/2018 18:00,16.1,14.1,0.5
5/26/2018 19:01,16.2,14.2,0.5
5/26/2018 20:00,16.2,14.3,0.9
5/26/2018 21:01,16.3,14.2,0.9
5/26/2018 22:00,16.4,14.2,0.9
5/26/2018 23:01,16.4,14.2,1.2
5/27/2018 1:00,16.4,14.4,0.9
5/27/2018 2:01,16.5,14.2,1.2
5/27/2018 3:01,16.6,14.3,1.2
5/27/2018 4:00,16.7,14.3,1.5
5/27/2018 5:01,16.8,14.2,1.2
5/27/2018 6:00,16.8,14.2,1.8
5/27/2018 7:01,16.6,14.5,1.5
5/27/2018 8:02,17,14.4,1.5
5/27/2018 9:00,17,14.3,1.5
5/27/2018 10:01,17.1,14.4,1.5
5/27/2018 11:00,17.1,14.4,1.5
5/27/2018 12:01,17.1,14.5,1.8
5/27/2018 13:02,17.1,14.5,1.8
5/27/2018 14:00,17.1,14.5,2.2
5/27/2018 15:01,17.1,14.6,2.2
5/27/2018 16:00,17.3,14.6,1.8
5/27/2018 17:01,17.4,14.7,2.2
5/27/2018 18:00,17.6,14.8,2.2
5/27/2018 19:00,17.9,14.8,2.5
5/27/2018 20:01,17.7,14.7,2.2
5/27/2018 21:00,17.9,14.7,2.5
5/27/2018 22:01,17.9,14.6,2.8
5/27/2018 23:02,0,0,0
5/28/2018 0:00,0,0,0
5/28/2018 1:01,0,0,0
5/28/2018 2:00,0,0,0
5/28/2018 3:01,0,0,0
5/28/2018 4:00,0,0,0
5/28/2018 5:01,0,0,0
5/28/2018 6:01,1.2,1.8,0
5/28/2018 7:00,1.8,5.1,0
5/28/2018 8:01,4.5,8.1,0
5/28/2018 9:00,5.4,10.8,0
5/28/2018 10:01,7.4,11.2,0
5/28/2018 11:02,10.5,11.5,0
5/28/2018 12:00,11.1,11.7,0
5/28/2018 13:01,11.7,12,0.2
5/28/2018 14:00,12,12.1,0.5
5/28/2018 15:01,12.4,12.2,0.9
5/28/2018 16:02,12.6,12.4,1.2
5/28/2018 17:00,12.9,12.5,1.8
5/28/2018 18:01,13,12.7,1.8
5/28/2018 19:00,13.3,12.8,2.2
5/28/2018 20:01,13.4,12.9,2.2
5/28/2018 21:00,13.6,12.9,2.5
5/28/2018 22:01,13.7,12.9,2.8
5/28/2018 22:01,13.7,12.9,2.8
5/28/2018 23:02,13.8,13,3.1
5/29/2018 0:00,13.8,12.9,3.1
5/29/2018 1:01,13.9,13.1,3.1
